time,lift,day_status
2015-01-12 09:16:42,Blackcomb Gondola,1
2015-01-12 09:16:55,Red Chair,1
2015-01-12 09:17:09,Emerald,1
2015-01-12 09:17:22,Fitzsimmons,1
2015-01-12 09:17:48,Garbanzo,1
2015-01-12 09:18:01,Whistler Village Gondola,1
2015-01-12 09:18:01,Whistler Village Gondola (Lower),1
2015-01-12 09:39:05,Blackcomb Gondola (Lower),1
2015-01-12 09:40:12,Harmony,1
2015-01-12 09:44:12,Peak,1
2015-01-12 09:46:11,Peak 2 Peak,1
2015-01-12 09:46:25,Olympic,1
2015-01-12 09:58:07,Crystal,1
2015-01-12 10:09:06,Jersey Cream,1
2015-01-12 10:10:05,Catskinner,1
2015-01-12 10:24:12,7th Heaven,1
2015-01-12 10:24:34,Glacier,1
2015-01-12 10:25:02,Showcase,1
2015-01-12 10:26:05,Blackcomb Glacier,1
2015-01-12 10:38:09,Spanky's Ladder,1
2015-01-12 11:30:06,Symphony,1
2015-01-12 11:58:06,Flute Bowl,1
2015-01-13 00:00:00,T-BAR,0
2015-01-13 00:00:00,Franz's,0
2015-01-13 09:07:06,Red Chair,1
2015-01-13 09:07:20,Emerald,1
2015-01-13 09:08:06,Garbanzo,1
2015-01-13 09:15:05,Excalibur Gondola,1
2015-01-13 09:15:05,Excalibur Gondola (Lower),1
2015-01-13 09:15:19,Excelerator,1
2015-01-13 09:15:32,Blackcomb Gondola (Lower),1
2015-01-13 09:15:45,Fitzsimmons,1
2015-01-13 09:16:05,Blackcomb Gondola,1
2015-01-13 09:16:18,Creekside Gondola,1
2015-01-13 09:16:31,Whistler Village Gondola,1
2015-01-13 09:16:31,Whistler Village Gondola (Lower),1
2015-01-13 09:35:06,Jersey Cream,1
2015-01-13 09:42:11,Peak 2 Peak,1
2015-01-13 09:46:13,Peak,1
2015-01-13 09:55:06,Olympic,1
2015-01-13 10:03:05,Catskinner,1
2015-01-13 10:04:12,Harmony,1
2015-01-13 10:21:12,7th Heaven,1
2015-01-13 10:21:28,Crystal,1
2015-01-13 10:21:48,Glacier,1
2015-01-13 10:24:19,Showcase,1
2015-01-13 10:28:09,Spanky's Ladder,1
2015-01-13 10:29:05,Blackcomb Glacier,1
2015-01-13 10:38:06,Symphony,1
2015-01-13 10:38:20,Flute Bowl,1
2015-01-14 00:00:00,Whistler Village Gondola,0
2015-01-14 00:00:00,Fitzsimmons,0
2015-01-14 00:00:00,Whistler Village Gondola (Lower),0
2015-01-14 00:00:00,T-BAR,0
2015-01-14 00:00:00,Blackcomb Gondola (Lower),0
2015-01-14 00:00:00,Creekside Gondola,0
2015-01-14 00:00:00,Blackcomb Gondola,0
2015-01-14 00:00:00,Excelerator,0
2015-01-14 00:00:00,Excalibur Gondola,0
2015-01-14 00:00:00,Franz's,0
2015-01-14 00:00:00,Excalibur Gondola (Lower),0
2015-01-14 09:08:05,Red Chair,1
2015-01-14 09:08:19,Emerald,1
2015-01-14 09:08:32,Garbanzo,1
2015-01-14 09:31:06,Jersey Cream,1
2015-01-14 09:39:12,Peak,1
2015-01-14 09:41:12,Harmony,1
2015-01-14 09:51:06,Olympic,1
2015-01-14 10:06:05,Catskinner,1
2015-01-14 10:06:19,Crystal,1
2015-01-14 10:09:12,7th Heaven,1
2015-01-14 10:10:12,Glacier,1
2015-01-14 10:11:11,Peak 2 Peak,1
2015-01-14 10:12:22,Spanky's Ladder,1
2015-01-14 10:25:06,Symphony,1
2015-01-14 10:25:19,Flute Bowl,1
2015-01-14 10:30:06,Showcase,1
2015-01-14 10:30:19,Blackcomb Glacier,1
2015-01-15 00:00:00,Franz's,0
2015-01-15 00:00:00,Blackcomb Glacier,0
2015-01-15 00:00:00,T-BAR,0
2015-01-15 00:00:00,Fitzsimmons,0
2015-01-15 00:00:00,Peak,0
2015-01-15 00:00:00,Garbanzo,0
2015-01-15 00:00:00,Showcase,0
2015-01-15 09:08:05,Red Chair,1
2015-01-15 09:08:19,Emerald,1
2015-01-15 09:14:06,Creekside Gondola,1
2015-01-15 09:17:06,Excalibur Gondola (Lower),1
2015-01-15 09:17:06,Excalibur Gondola,1
2015-01-15 09:17:19,Excelerator,1
2015-01-15 09:17:32,Blackcomb Gondola (Lower),1
2015-01-15 09:18:05,Blackcomb Gondola,1
2015-01-15 09:44:06,Jersey Cream,1
2015-01-15 09:57:11,Peak 2 Peak,1
2015-01-15 09:57:25,Olympic,1
2015-01-15 09:57:39,Whistler Village Gondola,1
2015-01-15 09:57:39,Whistler Village Gondola (Lower),1
2015-01-15 10:00:12,Crystal,1
2015-01-15 10:03:12,Harmony,1
2015-01-15 10:08:05,Catskinner,1
2015-01-15 10:08:25,Glacier,1
2015-01-15 10:17:08,Spanky's Ladder,1
2015-01-15 10:25:12,7th Heaven,1
2015-01-15 10:41:06,Symphony,1
2015-01-15 12:42:06,Flute Bowl,1
2015-01-16 00:00:00,T-BAR,0
2015-01-16 00:00:00,Franz's,0
2015-01-16 09:04:05,Red Chair,1
2015-01-16 09:04:17,Emerald,1
2015-01-16 09:14:04,Garbanzo,1
2015-01-16 09:16:05,Creekside Gondola,1
2015-01-16 09:16:17,Fitzsimmons,1
2015-01-16 09:16:29,Whistler Village Gondola,1
2015-01-16 09:16:29,Whistler Village Gondola (Lower),1
2015-01-16 09:17:05,Excalibur Gondola (Lower),1
2015-01-16 09:17:05,Excalibur Gondola,1
2015-01-16 09:17:17,Blackcomb Gondola (Lower),1
2015-01-16 09:18:05,Excelerator,1
2015-01-16 09:18:17,Blackcomb Gondola,1
2015-01-16 09:39:05,Olympic,1
2015-01-16 09:44:04,Jersey Cream,1
2015-01-16 10:02:05,Crystal,1
2015-01-16 10:13:04,Catskinner,1
2015-01-16 10:18:11,Glacier,1
2015-01-16 10:20:11,7th Heaven,1
2015-01-16 10:22:11,Peak 2 Peak,1
2015-01-16 10:54:07,Spanky's Ladder,1
2015-01-16 11:03:05,Showcase,1
2015-01-16 11:03:17,Blackcomb Glacier,1
2015-01-16 11:08:12,Peak,1
2015-01-16 11:13:12,Harmony,1
2015-01-16 11:48:05,Symphony,1
2015-01-16 11:48:17,Flute Bowl,1
2015-01-17 00:00:00,Franz's,0
2015-01-17 09:01:05,Excalibur Gondola,1
2015-01-17 09:01:05,Excalibur Gondola (Lower),1
2015-01-17 09:01:17,Excelerator,1
2015-01-17 09:01:29,Blackcomb Gondola (Lower),1
2015-01-17 09:01:29,Blackcomb Gondola,1
2015-01-17 09:01:41,Red Chair,1
2015-01-17 09:01:53,Creekside Gondola,1
2015-01-17 09:02:05,Emerald,1
2015-01-17 09:02:17,Fitzsimmons,1
2015-01-17 09:02:30,Garbanzo,1
2015-01-17 09:02:42,Whistler Village Gondola,1
2015-01-17 09:02:42,Whistler Village Gondola (Lower),1
2015-01-17 09:47:05,Jersey Cream,1
2015-01-17 09:55:11,7th Heaven,1
2015-01-17 10:02:05,Crystal,1
2015-01-17 10:02:24,Glacier,1
2015-01-17 10:03:20,Spanky's Ladder,1
2015-01-17 10:06:11,Peak,1
2015-01-17 10:07:11,Harmony,1
2015-01-17 10:10:10,Peak 2 Peak,1
2015-01-17 10:10:23,Olympic,1
2015-01-17 10:12:05,Showcase,1
2015-01-17 10:12:17,Blackcomb Glacier,1
2015-01-17 10:24:05,T-BAR,1
2015-01-17 10:33:05,Catskinner,1
2015-01-17 10:38:06,Symphony,1
2015-01-17 10:38:18,Flute Bowl,1
2015-01-18 00:00:00,Harmony,0
2015-01-18 00:00:00,Crystal,0
2015-01-18 00:00:00,7th Heaven,0
2015-01-18 00:00:00,Glacier,0
2015-01-18 00:00:00,T-BAR,0
2015-01-18 00:00:00,Spanky's Ladder,0
2015-01-18 00:00:00,Showcase,0
2015-01-18 00:00:00,Blackcomb Glacier,0
2015-01-18 00:00:00,Peak,0
2015-01-18 00:00:00,Peak 2 Peak,0
2015-01-18 00:00:00,Flute Bowl,0
2015-01-18 00:00:00,Symphony,0
2015-01-18 09:05:05,Red Chair,1
2015-01-18 09:05:17,Creekside Gondola,1
2015-01-18 09:05:30,Emerald,1
2015-01-18 09:05:42,Fitzsimmons,1
2015-01-18 09:06:06,Garbanzo,1
2015-01-18 09:06:18,Whistler Village Gondola (Lower),1
2015-01-18 09:06:18,Whistler Village Gondola,1
2015-01-18 09:07:05,Excalibur Gondola (Lower),1
2015-01-18 09:07:05,Excalibur Gondola,1
2015-01-18 09:07:17,Excelerator,1
2015-01-18 09:07:29,Blackcomb Gondola (Lower),1
2015-01-18 09:16:05,Blackcomb Gondola,1
2015-01-18 09:44:05,Olympic,1
2015-01-18 09:54:05,Jersey Cream,1
2015-01-18 11:14:05,Franz's,1
2015-01-18 12:52:04,Catskinner,1
2015-01-19 00:00:00,Franz's,0
2015-01-19 00:00:00,T-BAR,0
2015-01-19 09:03:05,Excalibur Gondola (Lower),1
2015-01-19 09:03:05,Excalibur Gondola,1
2015-01-19 09:03:17,Excelerator,1
2015-01-19 09:03:29,Blackcomb Gondola,1
2015-01-19 09:03:41,Blackcomb Gondola (Lower),1
2015-01-19 09:04:04,Red Chair,1
2015-01-19 09:04:16,Creekside Gondola,1
2015-01-19 09:04:29,Emerald,1
2015-01-19 09:04:41,Garbanzo,1
2015-01-19 09:04:53,Whistler Village Gondola,1
2015-01-19 09:04:53,Whistler Village Gondola (Lower),1
2015-01-19 09:05:05,Fitzsimmons,1
2015-01-19 09:31:05,Jersey Cream,1
2015-01-19 09:53:11,Peak 2 Peak,1
2015-01-19 09:55:05,Olympic,1
2015-01-19 10:11:04,Catskinner,1
2015-01-19 10:25:06,Crystal,1
2015-01-19 10:29:12,7th Heaven,1
2015-01-19 10:29:31,Glacier,1
2015-01-19 10:50:12,Peak,1
2015-01-19 11:10:11,Harmony,1
2015-01-19 11:46:08,Spanky's Ladder,1
2015-01-19 11:51:05,Showcase,1
2015-01-19 11:51:17,Blackcomb Glacier,1
2015-01-19 12:24:05,Symphony,1
2015-01-19 12:24:17,Flute Bowl,1
2015-01-20 00:00:00,T-BAR,0
2015-01-20 00:00:00,Franz's,0
2015-01-20 09:17:05,Excalibur Gondola (Lower),1
2015-01-20 09:17:05,Excalibur Gondola,1
2015-01-20 09:17:17,Excelerator,1
2015-01-20 09:17:29,Blackcomb Gondola,1
2015-01-20 09:17:41,Blackcomb Gondola (Lower),1
2015-01-20 09:17:53,Red Chair,1
2015-01-20 09:18:05,Emerald,1
2015-01-20 09:18:17,Garbanzo,1
2015-01-20 09:18:30,Whistler Village Gondola,1
2015-01-20 09:18:30,Whistler Village Gondola (Lower),1
2015-01-20 09:19:04,Creekside Gondola,1
2015-01-20 09:19:16,Fitzsimmons,1
2015-01-20 09:46:05,Jersey Cream,1
2015-01-20 09:49:11,Peak,1
2015-01-20 10:01:12,Harmony,1
2015-01-20 10:05:10,Peak 2 Peak,1
2015-01-20 10:05:24,Olympic,1
2015-01-20 10:08:05,Crystal,1
2015-01-20 10:13:04,Catskinner,1
2015-01-20 10:31:11,Glacier,1
2015-01-20 10:31:27,Spanky's Ladder,1
2015-01-20 10:32:11,7th Heaven,1
2015-01-20 10:36:17,Showcase,1
2015-01-20 10:43:05,Symphony,1
2015-01-20 12:03:05,Flute Bowl,1
2015-01-20 12:03:17,Blackcomb Glacier,1
2015-01-21 00:00:00,T-BAR,0
2015-01-21 00:00:00,Franz's,0
2015-01-21 09:06:05,Red Chair,1
2015-01-21 09:06:17,Emerald,1
2015-01-21 09:13:05,Garbanzo,1
2015-01-21 09:16:04,Excalibur Gondola (Lower),1
2015-01-21 09:16:04,Excalibur Gondola,1
2015-01-21 09:16:16,Excelerator,1
2015-01-21 09:16:28,Blackcomb Gondola (Lower),1
2015-01-21 09:16:41,Fitzsimmons,1
2015-01-21 09:17:04,Blackcomb Gondola,1
2015-01-21 09:17:16,Creekside Gondola,1
2015-01-21 09:17:29,Whistler Village Gondola (Lower),1
2015-01-21 09:17:29,Whistler Village Gondola,1
2015-01-21 09:37:05,Jersey Cream,1
2015-01-21 09:52:11,Peak,1
2015-01-21 09:56:04,Olympic,1
2015-01-21 10:02:10,Peak 2 Peak,1
2015-01-21 10:02:30,Harmony,1
